rank,tier,troop_name,troop_id,defensive_role_score,defense_score_base,armor_total,effective_armor,armor_audit_sum,shield_armor,shield_hp,OneHanded,Athletics,culture,level,n_rosters,line_status
316,C,[Rhûn] Sagarûn Deckhand,sagarun_deckhand,32.91,21.93,92.5,23.48,69.0,1.0,360.0,60.0,53.0,khuzait,11.0,2,main_or_minor_line
317,C,[Rhûn] Balcoth Volunteer,balcoth_volunteer,32.77,21.75,90.0,23.2,68.0,1.0,360.0,60.0,53.0,khuzait,11.0,1,main_or_minor_line
318,C,[Rhûn] Easterling Militia,easterling_militia,32.77,21.75,90.0,23.2,68.0,1.0,360.0,60.0,53.0,khuzait,11.0,1,main_or_minor_line
319,C,[Rhûn] Far-Rhun Levy,far_rhun_levy,32.59,21.51,96.0,22.85,71.0,1.0,360.0,60.0,53.0,khuzait,11.0,1,main_or_minor_line
320,C,Guard,guard_mordor,32.57,21.49,97.0,21.9,82.0,1.0,400.0,80.0,50.0,mordor,16.0,4,special_or_unlinked
321,C,[Rhûn] Balcoth Footman,balcoth_footman,32.53,21.45,95.0,22.75,71.0,1.0,360.0,90.0,85.0,khuzait,16.0,1,main_or_minor_line
322,C,[Rhûn] Easterling Footman,easterling_footman_new,32.53,21.45,95.0,22.75,71.0,1.0,360.0,90.0,85.0,khuzait,16.0,1,main_or_minor_line
323,C,[Mordor] Orc Fighter,mordor_orc_fighter,32.52,21.43,74.0,22.95,69.0,1.0,350.0,60.0,43.0,mordor,11.0,1,main_or_minor_line
324,C,[Gondor] Lossarnach Woodsman,gondor_loss_woodsman,32.28,21.52,64.0,19.2,64.0,1.0,520.0,70.0,53.0,gondor,11.0,6,main_or_minor_line
325,C,[Rohan] West-March Recruit,rohan_westmarches_recruit,32.14,19.9,31.0,12.5,28.0,9.0,400.0,28.0,28.0,vlandia,6.0,1,main_or_minor_line
326,C,[Mordor] Morannon Fighter,morannon_fighter,31.59,20.21,65.0,21.15,60.0,1.0,350.0,60.0,43.0,mordor,11.0,1,main_or_minor_line
327,C,[Mordor] Morannon Recruit,morannon_recruit,31.59,20.21,65.0,21.15,60.0,1.0,350.0,35.0,30.0,mordor,7.0,1,main_or_minor_line
328,C,[Dunland] Militia Veteran Spearman,dunland_militia_veteran_spearman,31.54,19.12,68.33,19.52,55.7,1.0,350.0,115.0,115.0,empire,16.0,3,special_or_unlinked
329,C,Dol Guldur Militia Spearman,dolguldur_militia_spearman,31.29,16.24,75.0,15.75,45.0,0.8,337.5,125.0,107.0,dolguldur,11.0,4,special_or_unlinked
330,C,[Gondor] Harondor Conscript,gondor_har_conscript,31.25,19.77,47.0,16.6,47.0,1.0,520.0,38.0,38.0,gondor,6.0,1,main_or_minor_line
331,C,[Rohan] Westfold Recruit,rohan_westfold_recruit,31.04,19.9,31.0,12.5,28.0,9.0,400.0,28.0,28.0,vlandia,6.0,1,main_or_minor_line
332,C,[Isengard] Militia Spearman,isengard_militia_spearman,30.74,18.22,82.0,18.1,61.3,0.7,366.7,120.0,105.0,isengard,11.0,3,main_or_minor_line
333,C,[Goblin] Militia Spearman,goblin_militia_spearman,30.7,15.8,39.5,15.1,39.5,0.8,337.5,102.0,85.0,goblin,11.0,4,special_or_unlinked
334,C,[Gondor] Anórien Militia,gondor_ano_militia,30.7,19.06,64.0,19.2,64.0,1.0,360.0,70.0,53.0,gondor,11.0,1,main_or_minor_line
335,C,[Misty Mountains] Militia Spearman,mistymountainorcs_militia_spearman,30.7,15.8,39.5,15.1,39.5,0.8,337.5,110.0,100.0,mistymountainorcs,11.0,4,special_or_unlinked
336,C,[Harad] Militia Veteran Spearman,harad_militia_veteran_spearman,30.57,17.84,71.0,17.4,61.0,1.0,360.0,115.0,95.0,aserai,16.0,2,special_or_unlinked
337,C,[Gondor] Ringlo Vale Peasant,gondor_ring_peasant,30.49,17.75,32.0,13.6,32.0,1.0,520.0,38.0,38.0,gondor,6.0,1,main_or_minor_line
338,C,[Gundabad] Militia Spearman,gundabad_militia_spearman,30.26,15.23,67.5,14.25,37.5,0.8,337.5,110.0,100.0,gundabad,11.0,4,special_or_unlinked
339,C,[Rhûn] Wain Youngblood,wain_youngblood,30.26,17.44,74.0,20.0,55.0,1.0,220.0,90.0,85.0,khuzait,16.0,1,main_or_minor_line
340,C,[Erebor] Militia Spearman,erebor_militia_spearman,30.2,13.76,52.0,15.21,42.8,0.8,200.0,120.0,105.0,erebor,11.0,4,special_or_unlinked
341,C,[Gondor] Lebennin Skirmisher,gondor_leb_skirmisher,30.11,18.29,40.0,14.4,40.0,1.0,520.0,100.0,85.0,gondor,16.0,1,main_or_minor_line
342,C,[Harad] Militia Spearman,harad_militia_spearman,29.9,16.97,62.0,16.1,52.0,1.0,360.0,115.0,95.0,aserai,11.0,3,special_or_unlinked
343,C,Guard,guard_harad,29.77,17.84,71.0,17.4,61.0,1.0,360.0,80.0,50.0,aserai,16.0,2,special_or_unlinked
344,C,Harad Caravan Guard,caravan_guard_harad,29.77,17.84,71.0,17.4,61.0,1.0,360.0,100.0,50.0,aserai,16.0,1,special_or_unlinked
345,C,Harad Veteran Caravan Guard,veteran_caravan_guard_harad,29.77,17.84,71.0,17.4,61.0,1.0,360.0,130.0,60.0,aserai,21.0,1,special_or_unlinked
346,C,[Harad] Levy,harad_levy,29.77,17.84,71.0,17.4,61.0,1.0,360.0,33.0,33.0,aserai,6.0,1,main_or_minor_line
347,C,[Harad] Militia,harad_militia,29.77,17.84,71.0,17.4,61.0,1.0,360.0,65.0,48.0,aserai,11.0,1,main_or_minor_line
348,C,Mordor Militia Spearman,mordor_militia_spearman,29.7,14.48,57.5,14.85,47.5,0.8,262.5,110.0,90.0,mordor,11.0,4,special_or_unlinked
349,C,[Erebor] Miner,erebor_reg_miner,29.52,13.93,58.8,16.74,49.2,0.6,150.0,70.0,58.0,erebor,11.0,5,main_or_minor_line
350,C,[Erebor] Militia,erebor_reg_militia,29.48,14.89,58.4,16.84,48.8,0.8,200.0,100.0,90.0,erebor,16.0,5,main_or_minor_line
351,C,[Gondor] Lossarnach Lumberman,gondor_loss_lumberman,29.39,17.75,32.0,13.6,32.0,1.0,520.0,38.0,38.0,gondor,6.0,6,main_or_minor_line
352,C,[Mordor] Orc Lackey,mordor_orc_lackey,28.93,17.15,47.0,16.6,47.0,1.0,350.0,28.0,28.0,mordor,6.0,1,main_or_minor_line
353,C,[Umbar] Adûnaim Recruits,umbar_elite,28.91,13.79,46.4,12.58,40.0,4.0,192.0,70.0,58.0,umbar,11.0,5,main_or_minor_line
354,C,[Gondor] Anórien Peasant,gondor_ano_peasant,27.81,15.29,32.0,13.6,32.0,1.0,360.0,38.0,38.0,gondor,6.0,1,main_or_minor_line
355,C,Guard,guard_dunland,27.44,15.2,57.0,14.85,47.0,1.0,300.0,80.0,50.0,empire,16.0,2,special_or_unlinked
356,C,[Isengard] Uruk-Hai Recruit,urukhai_recruit,27.08,14.34,42.0,7.85,32.0,1.0,550.0,38.0,43.0,isengard,6.0,1,main_or_minor_line
357,C,[Rhûn] Easterling Recruit,easterling_recruit,27.01,14.24,51.0,12.05,41.0,1.0,360.0,28.0,38.0,khuzait,6.0,1,main_or_minor_line
358,C,[Dunland] Militia Spearman,dunland_militia_spearman,26.55,12.61,31.67,11.0,22.4,1.0,300.0,115.0,115.0,empire,11.0,3,special_or_unlinked
